Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-11-01,10:02:45,70,65,65,65,65,67,67,67,67,70,70,3233959,3356318,3365494,3224.58,2439475,2483.32,2594907,2555078,2492896,2469179,2466696
2024-11-01,10:02:47,65,60,60,60,60,61,61,61,61,63,62,2940933,2475209,3185826,2470481,2439314,2332253,2409762,2192304,2343.16,2249931,2166575
2024-11-01,10:02:49,80,70,70,70,70,68,68,68,68,77,79,3312684,3236133,3309571,3242279,2442265,2467149,2478182,2463686,2458822,2441006,2465679
2024-11-01,10:02:51,78,70,70,70,70,72,72,72,72,70,77,3369811,4058335,3980077,3975655,3013426,2551991,2553087,2786048,2427668,2411505,2447.66
2024-11-01,10:02:53,64,62,62,61,61,64,64,64,64,65,64,1553468,1462995,3278738,3198529,2479686,2524.86,2451052,2453399,2446923,2409698,2407833
2024-11-01,10:02:56,71,64,64,64,64,67,67,67,67,70,70,3316313,3382926,3620157,3672013,2860081,2687779,2999581,2756728,2687314,2701047,1963429
2024-11-01,10:02:58,64,64,64,63,63,61,61,61,61,64,61,510483,566.08,838798,854784,631.3,1112739,597098,746768,1037456,882078,1002.7
2024-11-01,10:03:00,61,60,60,60,60,59,59,59,59,60,59,1385959,614952,862574,690931,1280868,647378,699541,1151152,774875,886264,1285648
2024-11-01,10:03:02,62,60,60,60,60,61,61,61,61,62,61,1248036,1980677,3402656,1871514,2857377,2841.56,2718001,1661106,1035615,1007713,831.76
2024-11-01,10:03:05,68,64,64,64,64,65,65,65,65,64,67,2521191,1460166,2251921,1092276,996.45,1372362,1232674,1152669,2596841,2906784,2634608
